Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Normal_Global_Sale,Platform_General,Year_Label,Scaled_Normal_Global_Sale,Normal_Global_Sale_Class
FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4,E,0.6511916023199619,Sony_Playstation,0,0.24116894342852116,High
Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,M,0.6242971875716652,Sony_Playstation,3,0.23117695396501295,High
LEGO Batman: The Videogame,X360,2008.0,Action,Warner Bros. Interactive Entertainment,2.04,1.02,0.0,0.32,3.38,E10+,0.4811724729114,Microsoft_Xbox,1,0.17800232070984745,High
Destiny,XOne,2014.0,Shooter,Activision,2.14,0.92,0.0,0.31,3.37,T,0.47222092143981176,Microsoft_Xbox,3,0.17467658156202584,High
Far Cry 3,PS3,2012.0,Shooter,Ubisoft,0.88,1.7,0.1,0.67,3.35,M,0.6572973713090532,Sony_Playstation,2,0.2434373987928261,High
James Bond 007: Nightfire,PS2,2002.0,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33,T,0.5931103048859804,Sony_Playstation,0,0.2195901986438262,High
Star Wars Episode III: Revenge of the Sith,PS2,2005.0,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,T,0.539137277628643,Sony_Playstation,1,0.19953778535592925,High
The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,1.4,0.91,0.74,0.26,3.31,E10+,0.8841319442442254,Nintendo,2,0.32771246794528547,High
Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,M,0.4808890744074916,Sony_Playstation,0,0.1778970306378556,High
Assassin's Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,M,0.47761296492428656,Microsoft_Xbox,3,0.17667986894298893,High
The Lord of the Rings: The Return of the King,PS2,2003.0,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28,T,0.5487349525279034,Sony_Playstation,0,0.2031035765198236,High
Gears of War: Ultimate Edition,XOne,2015.0,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28,M,0.4374110603579829,Microsoft_Xbox,3,0.16174379353108914,High
True Crime: Streets of LA,PS2,2003.0,Action,Activision,1.89,1.05,0.02,0.31,3.27,M,0.48074857440098473,Sony_Playstation,0,0.1778448311533984,High
